Course,Credits,CountedGrades,Type,,
SPTH 297B,0,"A+,A,A-,B+,B,B-,C+,C,C-,P,P*,WP,T",Required,FALL-2016,FALL-2023
SPTH 297B,0,"A+,A,A-,B+,B,B-,C+,C,P,P*,WP,T",Required,SPRING-2023,SPRING-2024
SPTH 298A,0,"A+,A,A-,B+,B,B-,C+,C,C-,P,P*,WP,T",Required,FALL-2016,FALL-2023
SPTH 298A,0,"A+,A,A-,B+,B,B-,C+,C,P,P*,WP,T",Required,SPRING-2023,SPRING-2024
SPTH 298B,0,"A+,A,A-,B+,B,B-,C+,C,C-,P,P*,WP,T",Required,FALL-2016,FALL-2023
SPTH 298B,0,"A+,A,A-,B+,B,B-,C+,C,P,P*,WP,T",Required,SPRING-2023,SPRING-2024
SPTH 299A,0,"A+,A,A-,B+,B,B-,C+,C,C-,P,P*,WP,T",Required,FALL-2016,FALL-2023
SPTH 299A,0,"A+,A,A-,B+,B,B-,C+,C,P,P*,WP,T",Required,SPRING-2023,SPRING-2024
SPTH 299B,0,"A+,A,A-,B+,B,B-,C+,C,C-,P,P*,WP,T",Required,FALL-2016,FALL-2023
SPTH 299B,0,"A+,A,A-,B+,B,B-,C+,C,P,P*,WP,T",Required,SPRING-2023,SPRING-2024
INEG200,12,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Intensive,,
INEG300,9,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Intensive,,
ENGL101,6,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Intensive,,
CHEM101,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Intensive,,
BIOL101,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Intensive,,
PHYS101,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Intensive,,
MATH101,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Intensive,,
MATH102,3,"A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,P,P*,WP,T",Intensive,,
